"id","created_at","description","amount","balance","category","account_id","updated_at","transaction_type","name","location","age","transaction_age","hascheck"
12,"2015-06-01 00:00:00","ATM WITHDRAWAL #9004 620 WEST FIELD RD SAN FRANCISCOCA",-301.5,162811.5,"ATM/Cash Withdrawals",0,"2015-04-29 00:00:00","","","",0,0,0
8,"2015-06-04 00:00:00","CHECK # 5134 CHECK WITHDRAWAL",-825,155770.6,"ATM/Cash Withdrawals",0,"2015-04-29 00:00:00","","","",0,0,0
84,"2010-12-31 00:00:00","Interest Deposit",14.51,12185.88,"Deposit",1,"2015-04-29 00:00:00","","","",0,0,0
89,"2010-06-30 00:00:00","Interest Deposit",49.89,25140.39,"Interest",1,"2015-04-29 00:00:00","","","",0,0,0
68,"2013-03-01 00:00:00","Deposit - On-Us Items & Multiple Checks",50000,67621.38,"Deposit",1,"2015-04-29 00:00:00","","","",0,0,0
77,"2011-12-31 00:00:00","Interest Deposit",7.31,32551.72,"Deposit",1,"2015-04-29 00:00:00","","","",0,0,0
76,"2012-02-03 00:00:00","Deposit - On-Us Items & Multiple Checks",40000,72551.72,"Deposit",1,"2015-04-29 00:00:00","","","",0,0,0
79,"2011-09-19 00:00:00","Transfer Deposit - Existing Account",2280.7,32519.02,"Deposit",1,"2015-04-29 00:00:00","","","",0,0,0
72,"2012-07-16 00:00:00","Withdrawal - Partial DDA only",-35000,27614.66,"Withdrawal",1,"2015-04-29 00:00:00","","","",0,0,0
73,"2012-06-29 00:00:00","Interest Deposit",45.53,62614.66,"Deposit",1,"2015-04-29 00:00:00","","","",0,0,0
88,"2010-07-15 00:00:00","Withdrawal - Partial DDA only",-8000,17140.39,"Withdrawal",1,"2015-04-29 00:00:00","","","",0,0,0
85,"2010-11-17 00:00:00","Withdrawal - Partial DDA only",-3000,12171.37,"Withdrawal",1,"2015-04-29 00:00:00","","","",0,0,0
66,"2013-03-29 00:00:00","Interest Deposit",0.93,47622.31,"Deposit",1,"2015-04-29 00:00:00","","","",0,0,0
94,"2009-09-16 00:00:00","Deposit - On-Us Items & Multiple Checks",2400,10017.67,"Deposit",1,"2015-04-29 00:00:00","","","",0,0,0
